"id","title","year","cites","venue","inst","atHome","inCv","doiInCv","authors","overlap","verdict"
"W2126144602","<scp>MALDI</scp> mass spectrometry‐assisted molecular imaging of metabolites during nitrogen fixation in the <i><scp>M</scp>edicago truncatula</i>–<i><scp>S</scp>inorhizobium meliloti</i> symbiosis","2013","131","The Plant Journal","University of Wisconsin–Madison","True","False","True","Hui Ye; Erin Gemperline; Muthusubramanian Venkateshwaran; Ruibing Chen; Pierre‐Marc Delaux; Maegen Howes‐Podoll; Jean‐Michel Ané","7","keep"
"W2010803299","Three dimensional mapping of neuropeptides and lipids in crustacean brain by mass spectral imaging","2009","125","Journal of the American Society for Mass Spectrometry","University of Wisconsin–Madison","True","True","False","Ruibing Chen; Limei Hui; Robert M. Sturm","3","keep"
"W2768056310","Coculture of Marine Invertebrate-Associated Bacteria and Interdisciplinary Technologies Enable Biosynthesis and Discovery of a New Antibiotic, Keyicin","2017","123","ACS Chemical Biology","University of Wisconsin–Madison","True","True","True","Navid Adnani; Marc G. Chevrette; Srikar Adibhatla; Fan Zhang; Qing Yu; Doug R. Braun; Justin Nelson; Scott W. Simpkins; Bradon R. McDonald; Chad L. Myers; Jeff S. Piotrowski; Christopher J. Thompson; Cameron R. Currie; Scott R. Rajski; Tim S. Bugni","15","keep"
"W4361268339","Peptidomics","2023","122","Nature Reviews Methods Primers","University of Wisconsin–Madison","True","False","False","Roland Hellinger; Arnar Sigurdsson; Wenxin Wu; Elena V. Romanova; Jonathan V. Sweedler; Roderich D. Süßmuth; Christian W. Gruber","3","keep"
"W2084292148","Combining in silico transcriptome mining and biological mass spectrometry for neuropeptide discovery in the Pacific white shrimp Litopenaeus vannamei","2009","120","Peptides","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","False","Mingming Ma; Ashley L. Gard; Feng Xiang; Junhua Wang; Naveed Davoodian; Petra H. Lenz; Spencer R. Malecha; Andrew E. Christie","8","keep"
"W1969960855","Identification of putative crustacean neuropeptides using in silico analyses of publicly accessible expressed sequence tags","2008","119","General and Comparative Endocrinology","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","False","Andrew E. Christie; Christopher R. Cashman; Henry R. Brennan; Mingming Ma; Gregory L. Sousa; Elizabeth A. Stemmler; Patsy S. Dickinson","7","keep"
"W2028645231","Comparison of Two-Dimensional Fractionation Techniques for Shotgun Proteomics","2008","119","Analytical Chemistry","University of Wisconsin–Madison","True","True","False","James A. Dowell; Dustin C. Frost; Jiang Zhang","3","keep"
"W2082255319","Imaging Mass Spectrometry of Neuropeptides in Decapod Crustacean Neuronal Tissues","2007","117","Journal of Proteome Research","University of Wisconsin–Madison","True","True","False","Stephanie S. DeKeyser; Kimberly K. Kutz‐Naber; Joshua J. Schmidt; Gregory A. Barrett‐Wilt","4","keep"
"W2028438413","Mass spectral characterization of peptide transmitters/hormones in the nervous system and neuroendocrine organs of the American lobster Homarus americanus","2008","114","General and Comparative Endocrinology","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","False","Mingming Ma; Ruibing Chen; Gregory L. Sousa; Eleanor K. Bors; Molly A. Kwiatkowski; Christopher C. Goiney; Michael F. Goy; Andrew E. Christie","8","keep"
"W2333867588","Site-Specific Characterization of <scp>d</scp>-Amino Acid Containing Peptide Epimers by Ion Mobility Spectrometry","2013","112","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Chenxi Jia; Christopher B. Lietz; Qing Yu","3","keep"
