"id","title","year","cites","venue","inst","atHome","inCv","doiInCv","authors","overlap","verdict"
"W2549952127","Label‐free quantitative comparison of cerebrospinal fluid glycoproteins and endogenous peptides in subjects with Alzheimer's disease, mild cognitive impairment, and healthy individuals","2016","38","PROTEOMICS - CLINICAL APPLICATIONS","University of Wisconsin System; University of Wisconsin–Madison; Tianjin University","True","True","True","Jingxin Wang; Robert Cunningham; Henrik Zetterberg; Sanjay Asthana; Cynthia M. Carlsson; Ozioma C. Okonkwo","6","keep"
"W2925211228","Data Independent Acquisition Mass Spectrometry Method for Improved Neuropeptidomic Coverage in Crustacean Neural Tissue Extracts","2019","38","Analytical Chemistry","University of Wisconsin–Madison","True","True","False","Kellen DeLaney","1","keep"
"W2980925493","Nanosecond photochemically promoted click chemistry for enhanced neuropeptide visualization and rapid protein labeling","2019","37","Nature Communications","University of Wisconsin–Madison","True","True","True","Gongyu Li; Fengfei Ma; Qinjingwen Cao; Zhen Zheng; Kellen DeLaney; Rui Liu","6","keep"
"W2982657972","Sample preparation strategies for high‐throughput mass spectrometry imaging of primary tumor organoids","2019","37","Journal of Mass Spectrometry","University of Wisconsin–Madison","True","True","True","Jillian Johnson; Joe T. Sharick; Melissa C. Skala","3","keep"
"W1989457128","High-definition De Novo Sequencing of Crustacean Hyperglycemic Hormone (CHH)-family Neuropeptides","2012","36","Molecular & Cellular Proteomics","University of Wisconsin–Madison","True","True","True","Chenxi Jia; Limei Hui; Weifeng Cao; Christopher B. Lietz; Xiaoyue Jiang; Ruibing Chen; Adam D. Catherman; Paul M. Thomas; Ying Ge; Neil L. Kelleher","10","keep"
"W1989770230","A multi-scale strategy for discovery of novel endogenous neuropeptides in the crustacean nervous system","2013","36","Journal of Proteomics","University of Wisconsin–Madison","True","True","True","Chenxi Jia; Christopher B. Lietz; Hui Ye; Limei Hui; Qing Yu; Sujin Yoo","6","keep"
"W2002124212","Mass Spectrometric Detection of Neuropeptides Using Affinity-Enhanced Microdialysis with Antibody-Coated Magnetic Nanoparticles","2012","36","Analytical Chemistry","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","True","Claire M. Schmerberg","1","keep"
"W2054147765","Prenatal Exposure to Hypoxia Induced Beclin 1 Signaling-Mediated Renal Autophagy and Altered Renal Development in Rat Fetuses","2014","36","Reproductive Sciences","Soochow University; First Affiliated Hospital of Soochow University","False","False","False","Shuixiu Xia; Juanxiu Lv; Qinqin Gao; Ningjing Chen; Xiaoguang Wei; Jianping Xiao; Jie Chen; Jianying Tao; Miao Sun; Caiping Mao; Li Zhang; Zhice Xu","0","drop"
"W2133208024","Dopaminergic tone regulates transient potassium current maximal conductance through a translational mechanism requiring D1Rs, cAMP/PKA, Erk and mTOR","2013","36","BMC Neuroscience","University of Wisconsin–Madison","True","True","True","Edmund W. Rodgers; Wulf‐Dieter C. Krenz; Xiaoyue Jiang; Deborah J. Baro","4","keep"
"W2488231459","In-Depth Characterization and Validation of Human Urine Metabolomes Reveal Novel Metabolic Signatures of Lower Urinary Tract Symptoms","2016","36","Scientific Reports","University of Wisconsin–Madison","True","True","True","Ling Hao; Tyler Greer; David L. Page; Yatao Shi; Chad M. Vezina; Jill A. Macoska; Paul C. Marker; Dale E. Bjorling; Wade Bushman; William A. Ricke","10","keep"
"W1829969087","High Throughput In Situ DDA Analysis of Neuropeptides by Coupling Novel Multiplex Mass Spectrometric Imaging (MSI) with Gas-Phase Fractionation","2015","35","Journal of the American Society for Mass Spectrometry","University of Wisconsin–Madison","True","True","False","Chuanzi OuYang; Bingming Chen","2","keep"
"W2123885588","Absolute Quantification of Prion Protein (90–231) Using Stable Isotope-Labeled Chymotryptic Peptide Standards in a LC-MRM AQUA Workflow","2012","34","Journal of the American Society for Mass Spectrometry","University of Wisconsin–Madison","True","True","False","Robert M. Sturm; Gloria Sheynkman; Clarissa J. Booth; Lloyd M. Smith; Joel A. Pedersen","5","keep"
"W2315687228","Visualizing Neurotransmitters and Metabolites in the Central Nervous System by High Resolution and High Accuracy Mass Spectrometric Imaging","2013","34","ACS Chemical Neuroscience","University of Wisconsin–Madison; Thermo Fisher Scientific (Germany)","True","True","False","Hui Ye; Jingxin Wang; Tyler Greer; Kerstin Strupat","4","keep"
"W2952763800","In Depth Quantification of Extracellular Matrix Proteins from Human Pancreas","2019","34","Journal of Proteome Research","University of Wisconsin–Madison","True","True","False","Fengfei Ma; Daniel M. Tremmel; Zihui Li; Christopher B. Lietz; Sara Dutton Sackett; Jon S. Odorico","6","keep"
"W3022993848","Human β-defensin 3 gene modification promotes the osteogenic differentiation of human periodontal ligament cells and bone repair in periodontitis","2020","34","International Journal of Oral Science","Nanjing University","False","False","False","Han Jiang; Rixin Chen; Jing Zhou; Yin Xiao; Yangheng Zhang; Fuhua Yan","0","drop"
"W2307168987","5-Hydroxymethylcytosine-mediated alteration of transposon activity associated with the exposure to adverse<i>in utero</i>environments in human","2016","33","Human Molecular Genetics","Soochow University; First Affiliated Hospital of Soochow University","False","False","False","Miao Sun; Mingxi M. Song; Bin Wei; Qinqin Gao; Bing Yao; Li Chen; Li Lin; Qing Dai; Xiuwen Zhou; Jianying Tao; Jie Chen; Chuan He; Peng Jin; Zhice Xu","0","drop"
"W2765625384","Strategy Based on Deglycosylation, Multiprotease, and Hydrophilic Interaction Chromatography for Large-Scale Profiling of Protein Methylation","2017","33","Analytical Chemistry","University of Wisconsin–Madison; Tianjin University","True","True","True","M Ma; Xinyuan Zhao; Shuo Chen; Yingyi Zhao; Lu Yang; Feng Yu; Weijie Qin; Chenxi Jia","8","keep"
"W2626411708","Imaging with Mass Spectrometry of Bacteria on the Exoskeleton of Fungus-Growing Ants","2017","32","ACS Chemical Biology","University of Wisconsin–Madison","True","True","True","Erin Gemperline; Heidi A. Horn; Kellen DeLaney; Cameron R. Currie","4","keep"
"W2901165612","Characterizing and alleviating ion suppression effects in atmospheric pressure matrix‐assisted laser desorption/ionization","2018","32","Rapid Communications in Mass Spectrometry","University of Wisconsin–Madison","True","True","False","Gongyu Li; Qinjingwen Cao; Yang Liu; Kellen DeLaney; Zichuan Tian; Eugene Moskovets","6","keep"
"W2998500331","Signature-Ion-Triggered Mass Spectrometry Approach Enabled Discovery of N- and O-Linked Glycosylated Neuropeptides in the Crustacean Nervous System","2019","32","Journal of Proteome Research","University of Wisconsin–Madison","True","True","True","Qinjingwen Cao; Qing Yu; Yang Liu; Zhengwei Chen","4","keep"
"W3012141085","A Simple and Effective Sample Preparation Strategy for MALDI-MS Imaging of Neuropeptide Changes in the Crustacean Brain Due to Hypoxia and Hypercapnia Stress","2020","32","Journal of the American Society for Mass Spectrometry","University of Wisconsin–Madison","True","True","True","Amanda R. Buchberger; Nhu Q. Vu; Jillian Johnson; Kellen DeLaney","4","keep"
"W3128485795","Mass Spectrometry Quantification, Localization, and Discovery of Feeding-Related Neuropeptides in <i>Cancer borealis</i>","2021","32","ACS Chemical Neuroscience","University of Wisconsin–Madison","True","True","False","Kellen DeLaney; Mengzhou Hu; Tessa Hellenbrand; Patsy S. Dickinson; Michael P. Nusbaum","5","keep"
"W3200497336","Recent advances in mass spectrometry analysis of neuropeptides","2021","32","Mass Spectrometry Reviews","University of Wisconsin–Madison","True","True","True","Ashley Phetsanthad; Nhu Q. Vu; Qing Yu; Amanda R. Buchberger; Zhengwei Chen; Caitlin Keller","6","keep"
"W4290861716","Boost-DiLeu: Enhanced Isobaric <i>N</i>,<i>N</i>-Dimethyl Leucine Tagging Strategy for a Comprehensive Quantitative Glycoproteomic Analysis","2022","32","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Danqing Wang; M Ma; Junfeng Huang; Ting‐Jia Gu; Yusi Cui; Miyang Li; Zicong Wang; Henrik Zetterberg","8","keep"
"W2095155717","Mass Spectrometric Evaluation of Neuropeptidomic Profiles upon Heat Stabilization Treatment of Neuroendocrine Tissues in Crustaceans","2012","30","Journal of Proteome Research","University of Wisconsin–Madison","True","True","True","Robert M. Sturm; Tyler Greer; Nicole Woodards; Erin Gemperline","4","keep"
"W2146654524","Development and characterization of novel 8‐plex DiLeu isobaric labels for quantitative proteomics and peptidomics","2015","30","Rapid Communications in Mass Spectrometry","University of Wisconsin System; University of Wisconsin–Madison; Highland Community College - Illinois","True","True","True","Dustin C. Frost; Tyler Greer; Feng Xiang; Zhidan Liang","4","keep"
"W3165461462","Counterion Optimization Dramatically Improves Selectivity for Phosphopeptides and Glycopeptides in Electrostatic Repulsion-Hydrophilic Interaction Chromatography","2021","30","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Yusi Cui; Dylan Nicholas Tabang; Zishan Zhang; M Ma; Andrew J. Alpert","5","keep"
"W1134199019","Custom 4-Plex DiLeu Isobaric Labels Enable Relative Quantification of Urinary Proteins in Men with Lower Urinary Tract Symptoms (LUTS)","2015","29","PLoS ONE","University of Wisconsin–Madison","True","True","True","Tyler Greer; Ling Hao; Anatoliy Nechyporenko; Sanghee Lee; Chad M. Vezina; William A. Ricke; Paul C. Marker; Dale E. Bjorling; Wade Bushman","9","keep"
"W1985327544","Mass spectral imaging and profiling of neuropeptides at the organ and cellular domains","2010","29","Analytical and Bioanalytical Chemistry","University of Wisconsin–Madison","True","False","False","Ruibing Chen","1","keep"
"W2095128346","A Quantitative Proteomic Approach to Prion Disease Biomarker Research: Delving into the Glycoproteome","2011","29","Journal of Proteome Research","University of Wisconsin–Madison","True","True","False","Xin Wei; Allen Herbst; Di Ma; Judd M. Aiken","4","keep"
"W2095180875","Mass spectrometric characterization of the neuropeptidome of the ghost crab Ocypode ceratophthalma (Brachyura, Ocypodidae)","2013","29","General and Comparative Endocrinology","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","False","Limei Hui; Brandon T. D’Andrea; Chenxi Jia; Zhidan Liang; Andrew E. Christie","5","keep"
"W2595661769","Improving data quality and preserving HCD-generated reporter ions with EThcD for isobaric tag-based quantitative proteomics and proteome-wide PTM studies","2017","29","Analytica Chimica Acta","University of Wisconsin–Madison","True","True","True","Qing Yu; Xudong Shi; Feng Yu; K. Craig Kent","4","keep"
"W4200367381","In-Depth Site-Specific O-Glycosylation Analysis of Glycoproteins and Endogenous Peptides in Cerebrospinal Fluid (CSF) from Healthy Individuals, Mild Cognitive Impairment (MCI), and Alzheimer’s Disease (AD) Patients","2021","29","ACS Chemical Biology","University of Wisconsin–Madison","True","True","True","Zhengwei Chen; Danqing Wang; Qing Yu; Jillian Johnson; Richard David Shipman; Xiaofang Zhong; Junfeng Huang; Qinying Yu; Henrik Zetterberg; Sanjay Asthana; Cynthia M. Carlsson; Ozioma C. Okonkwo","12","keep"
"W2002631841","Discovery and Characterization of the Crustacean Hyperglycemic Hormone Precursor Related Peptides (CPRP) and Orcokinin Neuropeptides in the Sinus Glands of the Blue Crab <i>Callinectes sapidus</i> Using Multiple Tandem Mass Spectrometry Techniques","2011","28","Journal of Proteome Research","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","False","Limei Hui; Robert Cunningham; Zichuan Zhang; Weifeng Cao; Chenxi Jia","5","keep"
"W2948399798","Improved structural elucidation of peptide isomers and their receptors using advanced ion mobility-mass spectrometry","2019","28","TrAC Trends in Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Gongyu Li; Daniel G. Delafield","2","keep"
"W2957513975","Finding the Sweet Spot in ERLIC Mobile Phase for Simultaneous Enrichment of N-Glyco and Phosphopeptides","2019","28","Journal of the American Society for Mass Spectrometry","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","False","Yusi Cui; Ka Yang; Dylan Nicholas Tabang; Junfeng Huang; Weiping Tang","5","keep"
"W2968307004","Multiplex Quantitative Glycomics Enabled by Periodate Oxidation and Triplex Mass Defect Isobaric Multiplex Reagents for Carbonyl-Containing Compound Tags","2019","28","Analytical Chemistry","University of Wisconsin–Madison","True","True","False","Feng Yu; Miyang Li; Yuanyuan Lin; Bingming Chen","4","keep"
"W3192943503","<i>Ascaris suum</i> Informs Extrasynaptic Volume Transmission in Nematodes","2021","28","ACS Chemical Neuroscience","University of Wisconsin–Madison","True","True","True","Louise E. Atkinson; Yang Liu; Fiona M. McKay; Elke Vandewyer; Charles Viau; Allister Irvine; Bruce A. Rosa; Zihui Li; Qingxiao Liang; Nikki J. Marks; Aaron G. Maule; Makedonka Mitreva; Isabel Beets; Angela Mousley","14","keep"
"W3200886249","Components, acidification characteristics, and sources of atmospheric precipitation in Beijing from 1997 to 2020","2021","28","Atmospheric Environment","Beijing Municipal Ecological and Environmental Monitoring Center","False","False","False","Shuang Sun; Shuang Liu; Wenji Zhao","0","drop"
"W4281652204","Development and evaluation of a novel xeno-free culture medium for human-induced pluripotent stem cells","2022","28","Stem Cell Research & Therapy","The University of Osaka","False","False","False","Ying Hua; Kenji Yoshimochi; Junjun Li; Kazuhiro Takekita; Motoshi Shimotsuma; Xiang Qu; Jingbo Zhang; Yoshiki Sawa; Li Liu; Shigeru Miyagawa","0","drop"
"W2001261862","A vision for better health: Mass spectrometry imaging for clinical diagnostics","2012","27","Clinica Chimica Acta","University of Wisconsin–Madison","True","True","True","Hui Ye; Erin Gemperline","2","keep"
"W2028255899","Discovery and Functional Study of a Novel Crustacean Tachykinin Neuropeptide","2011","27","ACS Chemical Neuroscience","University of Wisconsin–Madison; University of Pennsylvania","True","True","False","Limei Hui; Yuzhuo Zhang; Junhua Wang; Aaron P. Cook; Hui Ye; Michael P. Nusbaum","6","keep"
"W2040722485","Advancing Matrix-Assisted Laser Desorption/Ionization-Mass Spectrometric Imaging for Capillary Electrophoresis Analysis of Peptides","2011","27","Analytical Chemistry","University of Wisconsin–Madison","True","False","False","Junhua Wang; Hui Ye; Zichuan Zhang; Feng Xiang; Gary Girdaukas","4","keep"
"W2969909998","Metandem: An online software tool for mass spectrometry-based isobaric labeling metabolomics","2019","27","Analytica Chimica Acta","University of Wisconsin–Madison","True","True","False","Ling Hao; Yuerong Zhu; Pingli Wei; Jillian Johnson; Amanda R. Buchberger; Dustin C. Frost; Weiyuan John Kao","7","keep"
"W3122477652","Acetyl-CoA flux from the cytosol to the ER regulates engagement and quality of the secretory pathway","2021","27","Scientific Reports","University of Wisconsin–Madison","True","True","False","Inca A. Dieterich; Yusi Cui; Megan M. Braun; Alexis J. Lawton; Nicklaus H. Robinson; Jennifer L. Peotter; Qing Yu; Jason C. Casler; Benjamin S. Glick; Anjon Audhya; John M. Denu; Luigi Puglielli","12","keep"
"W1971236277","Probing neuropeptide signaling at the organ and cellular domains via imaging mass spectrometry","2012","26","Journal of Proteomics","University of Wisconsin–Madison","True","True","True","Hui Ye; Tyler Greer","2","keep"
"W2068490101","Mass spectrometric analysis of spatio-temporal dynamics of crustacean neuropeptides","2014","26","Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics","University of Wisconsin–Madison","True","True","False","Chuanzi OuYang; Zhidan Liang","2","keep"
"W3023627440","Variation of industrial air pollution emissions based on VIIRS thermal anomaly data","2020","26","Atmospheric Research","Beijing Municipal Ecological and Environmental Monitoring Center","False","False","False","Shuang Sun; Zhihong Wu; Atul Gautam; Jinxiang Li; Wenji Zhao","0","drop"
"W2619124219","Development of a hydrophilic interaction liquid chromatography coupled with matrix-assisted laser desorption/ionization-mass spectrometric imaging platform for N-glycan relative quantitation using stable-isotope labeled hydrazide reagents","2017","25","Analytical and Bioanalytical Chemistry","University of Wisconsin System; University of Wisconsin–Madison; Tianjin University; Nankai University; Highland Community College - Illinois","True","True","True","Zhengwei Chen; Xuefei Zhong; Cai Tie; Bingming Chen; Xin‐Xiang Zhang","5","keep"
"W2787544143","A Multifaceted Mass Spectrometric Method to Probe Feeding Related Neuropeptide Changes in <i>Callinectes sapidus</i> and <i>Carcinus maenas</i>","2018","25","Journal of the American Society for Mass Spectrometry","University of Wisconsin–Madison","True","True","False","Yuzhuo Zhang; Kellen DeLaney; Limei Hui; Junhua Wang; Robert M. Sturm","5","keep"
"W2795285212","Effect of methionine deficiency on oxidative stress and apoptosis in the small intestine of broilers","2018","25","Acta Veterinaria Hungarica","China West Normal University","False","False","False","Tao Ruan; Yingnan Lyu; Qin Luo; Bangyuan Wu","0","drop"
"W4200012525","Symbiont-Mediated Protection of <i>Acromyrmex</i> Leaf-Cutter Ants from the Entomopathogenic Fungus Metarhizium anisopliae","2021","25","mBio","University of Wisconsin–Madison","True","True","True","Gaspar Bruner-Montero; Matthew Wood; Heidi A. Horn; Erin Gemperline; Cameron R. Currie","5","keep"
"W4206189971","Increased expression of SLC25A1/CIC causes an autistic-like phenotype with altered neuron morphology","2021","25","Brain","University of Wisconsin–Madison","True","True","False","Michael J. Rigby; Nicola Salvatore Orefice; Alexis J. Lawton; M Ma; Samantha L. Shapiro; Sue Y. Yi; Inca A. Dieterich; Alyssa Frelka; Hannah N. Miles; Robert A. Pearce; John‐Paul J. Yu; John M. Denu; Luigi Puglielli","13","keep"
"W4229046827","Comparing Selected-Ion Collision Induced Unfolding with All Ion Unfolding Methods for Comprehensive Protein Conformational Characterization","2022","25","Journal of the American Society for Mass Spectrometry","University of Wisconsin–Madison","True","True","True","Ashley Phetsanthad; Gongyu Li; Chae Kyung Jeon; Brandon T. Ruotolo","4","keep"
"W4386699271","Development of Potent and Selective Coactivator-Associated Arginine Methyltransferase 1 (CARM1) Degraders","2023","25","Journal of Medicinal Chemistry","University of Wisconsin–Madison","True","True","False","Haibo Xie; Megan S. Bacabac; M Ma; Eui‐Jun Kim; Yidan Wang; Wenxin Wu; Wei Xu; Weiping Tang","8","keep"
"W1973389807","From Pixel to Voxel: A Deeper View of Biological Tissue by 3D Mass Spectral Imaging","2011","24","Bioanalysis","University of Wisconsin–Madison","True","True","False","Hui Ye; Tyler Greer","2","keep"
"W1992140605","Protein Changes in Immunodepleted Cerebrospinal Fluid from a Transgenic Mouse Model of Alexander Disease Detected Using Mass Spectrometry","2012","24","Journal of Proteome Research","University of Wisconsin–Madison","True","True","False","Robert Cunningham; Paige L. Jany; Albee Messing","3","keep"
"W2403753581","Defining the Neuropeptidome of the Spiny Lobster <i>Panulirus interruptus</i> Brain Using a Multidimensional Mass Spectrometry-Based Platform","2015","24","Journal of Proteome Research","University of Wisconsin–Madison; Tianjin University","True","True","True","Hui Ye; Jingxin Wang; Zichuan Zhang; Chenxi Jia; Claire M. Schmerberg; Adam D. Catherman; Paul M. Thomas; Neil L. Kelleher","8","keep"
"W2915262101","Mass Spectrometric Imaging Reveals Temporal and Spatial Dynamics of Bioactive Lipids in Arteries Undergoing Restenosis","2019","24","Journal of Proteome Research","University of Wisconsin–Madison","True","True","False","Yatao Shi; Jillian Johnson; Bowen Wang; Bingming Chen; Gregory L. Fisher; Go Urabe; Xudong Shi; K. Craig Kent; Lian‐Wang Guo","9","keep"
"W3100859636","ADVANCES IN HIGH‐RESOLUTION MALDI MASS SPECTROMETRY FOR NEUROBIOLOGY","2020","24","Mass Spectrometry Reviews","University of Wisconsin–Madison","True","True","True","Kellen DeLaney; Ashley Phetsanthad","2","keep"
"W3103400560","Neuropeptidomics: Improvements in Mass Spectrometry Imaging Analysis and Recent Advancements","2020","24","Current Protein and Peptide Science","University of Wisconsin–Madison","True","True","True","Nhu Q. Vu; Kellen DeLaney","2","keep"
"W4220938741","Particle number size distribution and new particle formation in Xiamen, the coastal city of Southeast China in wintertime","2022","24","The Science of The Total Environment","Chinese Academy of Sciences; Institute of Urban Environment; University of Chinese Academy of Sciences","False","False","False","Jing Wang; Mengren Li; Ronghua Zheng; Xiaolong Fan; Youwei Hong; Lingling Xu; Jinsheng Chen; Baoye Hu","0","drop"
"W2053039440","Characterization of Murine Brain Membrane Glycoproteins by Detergent Assisted Lectin Affinity Chromatography","2010","23","Analytical Chemistry","University of Wisconsin–Madison","True","True","False","Xin Wei; Charles L. Dulberger","2","keep"
"W3167039358","Evaluation of Collagen Alterations in Early Precursor Lesions of High Grade Serous Ovarian Cancer by Second Harmonic Generation Microscopy and Mass Spectrometry","2021","23","Cancers","University of Wisconsin–Madison; University of Wisconsin Carbone Cancer Center","True","True","True","Kristal L. Gant; Alexander N. Jambor; Zihui Li; Eric C. Rentchler; Paul Weisman; Manish S. Patankar; Paul J. Campagnola","7","keep"
"W3177747013","Erythrocyte sphingolipid species as biomarkers of Alzheimer's disease","2021","23","Journal of Pharmaceutical Analysis","University of Wisconsin–Madison","True","True","True","Jericha Mill; Vihar Patel; Ozioma C. Okonkwo; Thomas J. Raife","4","keep"
"W3185990200","Recent Advances in Mass Spectrometry-Based Glycomic and Glycoproteomic Studies of Pancreatic Diseases","2021","23","Frontiers in Chemistry","University of Wisconsin–Madison","True","True","True","Dylan Nicholas Tabang; Megan Ford","2","keep"
"W4225161590","Analysis of the Characteristics of Ozone Pollution in the North China Plain from 2016 to 2020","2022","23","Atmosphere","Beijing Municipal Ecological and Environmental Monitoring Center; Capital Normal University","False","False","False","Xinyu Wang; Wenhui Zhao; Wenhui Zhao; Tianyue Zhang; Yun Qiu; Pengfei Ma; Lili Wang; Mi Wang; Dongyang Zheng; Wenji Zhao; Wenji Zhao","0","drop"
"W2056595337","Mass Spectral Charting of Neuropeptidomic Expression in the Stomatogastric Ganglion at Multiple Developmental Stages of the Lobster <i>Homarus americanus</i>","2012","22","ACS Chemical Neuroscience","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","False","Xiaoyue Jiang; Ruibing Chen; Junhua Wang; Anita Metzler; Michael F. Tlusty","5","keep"
"W2069582697","Pressure-Assisted Capillary Electrophoresis Coupling with Matrix-Assisted Laser Desorption/Ionization-Mass Spectrometric Imaging for Quantitative Analysis of Complex Peptide Mixtures","2012","22","Analytical Chemistry","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","False","Zichuan Zhang; Hui Ye; Junhua Wang; Limei Hui","4","keep"
"W2143582958","Neuropeptide analysis with liquid chromatography‐capillary electrophoresis‐mass spectrometric imaging","2012","22","Journal of Separation Science","University of Wisconsin–Madison","True","True","False","Zichuan Zhang; Chenxi Jia","2","keep"
"W4205496468","SLC13A5/sodium-citrate co-transporter overexpression causes disrupted white matter integrity and an autistic-like phenotype","2022","22","Brain Communications","University of Wisconsin–Madison","True","True","True","Michael J. Rigby; Nicola Salvatore Orefice; Alexis J. Lawton; M Ma; Samantha L. Shapiro; Sue Y. Yi; Inca A. Dieterich; Alyssa Frelka; Hannah N. Miles; Robert A. Pearce; John‐Paul J. Yu; John M. Denu; Luigi Puglielli","13","keep"
"W2033596854","Characterization of the adult zebrafish cardiac proteome using online pH gradient strong cation exchange‐RP 2D LC coupled with ESI MS/MS","2010","21","Journal of Separation Science","University of Wisconsin–Madison","True","True","False","Jiang Zhang; Kevin A. Lanham; Richard E. Peterson; Warren Heideman","4","keep"
"W4212839184","Recent Advances in Understanding of Alzheimer’s Disease Progression Through Mass Spectrometry-Based Metabolomics","2022","21","Phenomics","University of Wisconsin–Madison","True","True","False","Jericha Mill","1","keep"
"W2010441841","Poly(glycidyl methacrylate‐divinylbenzene) based immobilized pH gradient capillary isoelectric focusing coupling with MALDI mass spectrometry for enhanced neuropeptide analysis","2012","20","Electrophoresis","University of Wisconsin–Madison","True","True","False","Zichuan Zhang; Junhua Wang; Limei Hui","3","keep"
"W2947344077","Multifaceted Mass Spectrometric Investigation of Neuropeptide Changes in Atlantic Blue Crab, <i>Callinectes sapidus</i>, in Response to Low pH Stress","2019","20","Journal of Proteome Research","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","False","Yang Liu; Amanda R. Buchberger; Kellen DeLaney; Zihui Li","4","keep"
"W4295437667","Quantitative Analysis and Structural Elucidation of Fatty Acids by Isobaric Multiplex Labeling Reagents for Carbonyl-Containing Compound (SUGAR) Tags and <i>m</i>-CPBA Epoxidation","2022","20","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Feng Yu; Yanni Lv; Ting‐Jia Gu; Bingming Chen","4","keep"
"W2745065893","Mass Defect-Based Dimethyl Pyrimidinyl Ornithine (DiPyrO) Tags for Multiplex Quantitative Proteomics","2017","19","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Dustin C. Frost; Amanda R. Buchberger","2","keep"
"W3135082319","Mass Spectrometric Profiling of Neuropeptides in Response to Copper Toxicity via Isobaric Tagging","2021","19","Chemical Research in Toxicology","University of Wisconsin–Madison","True","True","True","Christopher S. Sauer","1","keep"
"W3212189700","Review of Recent Advances in Lipid Analysis of Biological Samples via Ambient Ionization Mass Spectrometry","2021","19","Metabolites","University of Wisconsin–Madison","True","False","False","Haiyan Lu; Hua Zhang; Shuling Xu","3","keep"
"W4380291971","DiLeu Isobaric Labeling Coupled with Limited Proteolysis Mass Spectrometry for High-Throughput Profiling of Protein Structural Changes in Alzheimer’s Disease","2023","19","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Haiyan Lu; Bin Wang; Yuan Liu; Danqing Wang; Lauren Fields; Hua Zhang; Miyang Li; Xudong Shi; Henrik Zetterberg","9","keep"
"W4396536806","Biogenic volatile organic compounds in forest therapy base: A source of air pollutants or a healthcare function?","2024","19","The Science of The Total Environment","Beijing Municipal Ecological and Environmental Monitoring Center","False","False","False","Wu Ju; Qiang Wang; Chengyang Xu; Xiaoxiu Lun; Luxi Wang; Yanshan Gao; Liang Huang; Qiang Zhang; Baoxian Liu; Haixuan Liu; Lijuan Xu","0","drop"
"W2422228333","Investigation of signaling molecules and metabolites found in crustacean hemolymph via <i>in vivo</i> microdialysis using a multifaceted mass spectrometric platform","2015","18","Electrophoresis","University of Wisconsin–Madison; Tianjin University; Nankai University","True","False","True","Shan Jiang; Zhidan Liang; Ling Hao","3","keep"
"W3151120635","Spatial and temporal variation characteristics of atmospheric NO2 and SO2 in the Beijing-Tianjin-Hebei region before and after the COVID-19 outbreak","2021","18","Air Quality Atmosphere & Health","Beijing Municipal Ecological and Environmental Monitoring Center","False","False","False","Nanchi Shen; Xue Zhao; Bingfeng Zhou; Fuzhou Duan; Wenji Zhao","0","drop"
"W3175461440","Mass spectrometry profiling and quantitation of changes in circulating hormones secreted over time in Cancer borealis hemolymph due to feeding behavior","2021","18","Analytical and Bioanalytical Chemistry","University of Wisconsin–Madison","True","True","False","Kellen DeLaney; Mengzhou Hu; Wenxin Wu; Michael P. Nusbaum","4","keep"
"W3192876423","Developing mass spectrometry for the quantitative analysis of neuropeptides","2021","18","Expert Review of Proteomics","University of Wisconsin–Madison","True","True","True","Christopher S. Sauer; Ashley Phetsanthad; Olga Riusech","3","keep"
"W4313450253","Meteorological mechanisms of regional PM2.5 and O3 transport in the North China Plain driven by the East Asian monsoon","2022","18","Atmospheric Pollution Research","Beijing Municipal Ecological and Environmental Monitoring Center; Capital Normal University","False","False","False","Shuang Liu; Wen-Hui Zhao; Wen-Hui Zhao; Jiannan Jin; Tian-Ze Li; Haitao Xu; Wenji Zhao; Wenji Zhao","0","drop"
"W4376872460","ATP-Coated Dual-Functionalized Titanium(IV) IMAC Material for Simultaneous Enrichment and Separation of Glycopeptides and Phosphopeptides","2023","18","Journal of Proteome Research","University of Wisconsin–Madison","True","True","False","Danqing Wang; Junfeng Huang; Haoran Zhang; M Ma; Meng Xu; Yusi Cui; Xudong Shi","7","keep"
"W2794794747","Clemastine effects in rat models of a myelination disorder","2018","17","Pediatric Research","University of Wisconsin–Madison","True","True","False","C Turski; Gabrielle N. Turski; Bingming Chen; Hauhui Wang; Moones Heidari; Kazuma Noguchi; Cara J. Westmark; Ian D. Duncan; Chrysanthy Ikonomidou","9","keep"
"W2958550032","Rapid MALDI‐TOF molecular imaging: Instrument enhancements and their practical consequences","2019","17","Journal of Mass Spectrometry","University of Wisconsin–Madison","True","True","True","Marvin L. Vestal; Evgenia Dobrinskikh; Yatao Shi; Bowen Wang; Xudong Shi; Sicheng Li; C. H. Vestal; Kenneth C. Parker","8","keep"
